,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,2171.043353042556,2044.8794000939067,2063.0448454751267
49,2171.072817941787,2044.8794001245903,2063.078283183695
48,2171.103139884315,2044.8794001083543,2063.1006076496988
47,2171.134363457185,2044.8794001032734,2063.05932157001
46,2171.1665226147284,2044.8794000905489,2063.0179321567603
45,2171.1996532515323,2044.8794001075146,2062.9913041049126
44,2171.2337934288644,2044.8794001065783,2062.9964093117983
43,2171.2689811633454,2044.8794000787789,2063.0278464719127
42,2171.305255615199,2044.8794000675587,2063.2721344270853
41,2171.3426566412254,2044.8794000557662,2063.322001649099
40,2171.381225356897,2044.8794000439782,2062.7834363023953
39,2171.4210045691793,2044.8794000340658,2062.7150913645
38,2171.462035616492,2044.8794000241435,2062.754042371205
37,2171.504359434029,2044.879400050775,2062.8173810042204
36,2171.546836997116,2044.8794000224088,2062.9008159944046
35,2171.5902427080837,2044.8794000031182,2063.004424690875
34,2171.635092937328,2044.8794000161163,2063.043633880688
33,2171.6809960890305,2044.8793999755294,2063.1055768096353
32,2171.7280444043367,2044.8793999606987,2063.1512546657304
31,2171.776480547821,2044.8793999429643,2063.0288718134184
30,2171.8263490547884,2044.8793999330026,2062.817236456223
29,2171.877780926712,2044.879399928688,2063.0399583273766
28,2171.930828697428,2044.8793999212737,2062.908500672951
27,2171.9855508142714,2044.8793999137454,2062.581299436386
26,2172.0420101248533,2044.879399903292,2062.3732475979896
25,2172.100276606845,2044.8793998958176,2062.279508802076
24,2172.1604231905244,2044.8793998878773,2062.188479285356
23,2172.222444103439,2044.8793998797228,2062.3684068393354
22,2172.28655819168,2044.87939987092,2062.2959600490203
21,2172.352884084331,2044.8793998623707,2063.067777146939
20,2172.4215624256676,2044.8793998535104,2063.1090756987915
19,2172.4927633796387,2044.879399847453,2062.906221109503
18,2172.5667164275224,2044.87939984846,2062.3857700890803
17,2172.6436447154824,2044.8793998313524,2062.4118639006215
16,2172.723852743448,2044.8793998274207,2063.8002787421783
15,2172.8077456608676,2044.8793998600888,2062.5951802205436
14,2172.8962572860646,2046.8628708886179,2062.5558452011605
13,2172.989726692051,2048.846341936306,2063.1564654555445
12,2173.0891320355363,2050.829813003773,2062.705186789229
11,2173.201752471297,2052.8132840933936,2063.732064931944
10,2173.3249395040834,2054.796755147179,2063.9017636703247
9,2173.465386852631,2056.7802261939173,2064.1358133940503
8,2173.644423693436,2058.7636973463864,2064.5374601792496
7,2173.8025837273403,2062.730639389915,2065.033515556137
6,2174.9015014106094,2068.681052534625,2068.681052742042
5,2176.9709140525847,2074.631465742949,2074.6314659347236
4,2177.375150430381,2086.532292188393,2086.532292357828
3,2171.28326840552,2104.383531896953,2104.3835320150743
2,2177.030333711685,2142.069482238296,2142.0694823724057
1,2253.1438622110586,2253.143861182051,2253.1438623581366
