,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
0,20,10,0,184.0418786033818,184.0418786033818,184.84029507859202
1,20,10,1,184.0418786033818,144.87759388940435,160.99264901539618
2,20,10,2,184.0418786033818,116.3407358213251,124.14370358949142
3,20,10,3,184.0418786033818,95.8786373598813,99.47486425593229
4,20,10,4,184.0418786033818,73.34687979837915,109.34163860471192
5,20,10,5,184.0418786033818,50.10624923473196,97.12078839262571
6,20,10,6,184.0418786033818,29.16888511411893,55.003339295455156
7,20,10,7,184.0418786033818,1.6089778953605531,35.72971462776626
8,20,10,8,184.0418786033818,0.0,25.07370021881441
9,20,10,9,184.0418786033818,0.0,11.36477862293777
10,20,10,10,184.0418786033818,0.0,12.585540424559177
11,20,10,11,184.0418786033818,0.0,9.4734734202111
12,20,10,12,184.0418786033818,0.0,3.8413439144314907
13,20,10,13,184.0418786033818,0.0,0.0
14,20,10,14,184.0418786033818,0.0,0.0
15,20,9,0,185.95874606727386,185.95874606727386,185.8957461875603
16,20,9,1,185.95874606727386,146.7920728250611,161.90516477199182
17,20,9,2,185.95874606727386,118.40888977440534,122.26761675817862
18,20,9,3,185.95874606727386,97.69536626538203,97.44750634605029
19,20,9,4,185.95874606727386,74.08676874959585,108.25988127498505
20,20,9,5,185.95874606727386,50.852454217392115,95.98095437532052
21,20,9,6,185.95874606727386,29.35824666854485,50.38255348802761
22,20,9,7,185.95874606727386,2.9255723360385986,30.886301213253844
23,20,9,8,185.95874606727386,0.0,18.79153919067391
24,20,9,9,185.95874606727386,0.0,3.3191504141230794
25,20,9,10,185.95874606727386,0.0,5.558577469909906
26,20,9,11,185.95874606727386,0.0,4.041806439130212
27,20,9,12,185.95874606727386,0.0,0.0
28,20,9,13,185.95874606727386,0.0,0.0
29,20,9,14,185.95874606727386,0.0,0.0
30,20,8,0,186.9198014086693,186.9198014086693,186.61157024677766
31,20,8,1,186.9198014086693,147.77491641664446,162.7069184281732
32,20,8,2,186.9198014086693,120.40585983689027,124.53662581334238
33,20,8,3,186.9198014086693,99.36242878490899,95.75361958115872
34,20,8,4,186.9198014086693,75.00215332405298,107.95546347359404
35,20,8,5,186.9198014086693,53.00551938608919,91.16785151703746
36,20,8,6,186.9198014086693,30.65401826833174,45.09459723988819
37,20,8,7,186.9198014086693,4.488906359988796,26.461812077254756
38,20,8,8,186.9198014086693,0.0,14.070709008796037
39,20,8,9,186.9198014086693,0.0,7.184196958004222
40,20,8,10,186.9198014086693,0.0,2.2608326875292377
41,20,8,11,186.9198014086693,0.0,0.0
42,20,8,12,186.9198014086693,0.0,0.0
43,20,8,13,186.9198014086693,0.0,0.0
44,20,8,14,186.9198014086693,0.0,0.0
45,20,7,0,187.35672756827574,187.35672756827574,186.67194815557235
46,20,7,1,187.35672756827574,148.1637147525177,161.45780710513097
47,20,7,2,187.35672756827574,122.28674794769772,125.79595446717232
48,20,7,3,187.35672756827574,100.81085462913516,97.690024347778
49,20,7,4,187.35672756827574,77.57365874981346,108.94430974441906
50,20,7,5,187.35672756827574,54.328552233434635,87.36638403269282
51,20,7,6,187.35672756827574,30.527263967706666,42.211874337782845
52,20,7,7,187.35672756827574,4.270933250444045,28.318336172378025
53,20,7,8,187.35672756827574,0.0,11.391082127071599
54,20,7,9,187.35672756827574,0.0,1.9538000527781634
55,20,7,10,187.35672756827574,0.0,0.0
56,20,7,11,187.35672756827574,0.0,0.0
57,20,7,12,187.35672756827574,0.0,0.0
58,20,7,13,187.35672756827574,0.0,0.0
59,20,7,14,187.35672756827574,0.0,0.0
60,20,6,0,188.38909059212912,188.38909059212912,188.3890905923704
61,20,6,1,188.38909059212912,149.4942146245586,164.86539411550956
62,20,6,2,188.38909059212912,123.78679172187091,126.73282394610129
63,20,6,3,188.38909059212912,103.39558059167908,101.15305218797482
64,20,6,4,188.38909059212912,82.24184596049037,110.949276261741
65,20,6,5,188.38909059212912,57.67306560387037,79.56179306355398
66,20,6,6,188.38909059212912,32.24011571742409,49.22178401239121
67,20,6,7,188.38909059212912,7.888636549641582,30.391980350663218
68,20,6,8,188.38909059212912,0.0,14.545959089113104
69,20,6,9,188.38909059212912,0.0,8.49592840654099
70,20,6,10,188.38909059212912,0.0,9.634964449702998
71,20,6,11,188.38909059212912,0.0,4.982732777064065
72,20,6,12,188.38909059212912,0.0,2.6209482996686617
73,20,6,13,188.38909059212912,0.0,3.408814831169721
74,20,6,14,188.38909059212912,0.0,1.16429751870048
75,20,5,0,194.03780588037185,194.03780588037185,194.1254020617575
76,20,5,1,194.03780588037185,155.07552518308927,172.66416080086933
77,20,5,2,194.03780588037185,126.13643316796674,132.04575288117093
78,20,5,3,194.03780588037185,107.56384647406033,113.89513238135054
79,20,5,4,194.03780588037185,86.42367968135679,101.5854836406751
80,20,5,5,194.03780588037185,62.59021088204649,72.3802289385755
81,20,5,6,194.03780588037185,37.174775960398186,48.341335373741174
82,20,5,7,194.03780588037185,12.162536592464264,35.79728275373986
83,20,5,8,194.03780588037185,0.0,24.202411114817245
84,20,5,9,194.03780588037185,0.0,22.701764312231354
85,20,5,10,194.03780588037185,0.0,8.45474354212675
86,20,5,11,194.03780588037185,0.0,9.290771479401556
87,20,5,12,194.03780588037185,0.0,8.521493851028481
88,20,5,13,194.03780588037185,0.0,8.068387919191835
89,20,5,14,194.03780588037185,0.0,0.0
90,20,4,0,204.2568591665512,204.2568591665512,204.2568591603877
91,20,4,1,204.2568591665512,165.3619831977732,180.6828345677437
92,20,4,2,204.2568591665512,131.88317568311334,147.2353769360959
93,20,4,3,204.2568591665512,111.05123130302162,141.87746550005818
94,20,4,4,204.2568591665512,93.74998224981474,109.7843914947853
95,20,4,5,204.2568591665512,71.16232144055556,72.36621599134855
96,20,4,6,204.2568591665512,45.904212620382594,39.450144365165364
97,20,4,7,204.2568591665512,21.612392549102616,48.32330941867334
98,20,4,8,204.2568591665512,0.0,41.3584544649992
99,20,4,9,204.2568591665512,0.0,33.01307670628004
100,20,4,10,204.2568591665512,0.0,27.95805654893705
101,20,4,11,204.2568591665512,0.0,19.916518869774464
102,20,4,12,204.2568591665512,0.0,20.18913097508807
103,20,4,13,204.2568591665512,0.0,15.554773012908981
104,20,4,14,204.2568591665512,0.0,13.31570902323105
105,20,3,0,217.08001073933602,217.08001073933602,217.1040596829823
106,20,3,1,217.08001073933602,181.22975176530514,198.00369625046042
107,20,3,2,217.08001073933602,148.2683477383489,186.0629036045996
108,20,3,3,217.08001073933602,121.79139178152226,145.40344182078866
109,20,3,4,217.08001073933602,105.37684538486212,141.03937411718755
110,20,3,5,217.08001073933602,83.99536415242093,82.34701591706366
111,20,3,6,217.08001073933602,60.861676873729074,70.56449110057424
112,20,3,7,217.08001073933602,34.4605089612248,71.19475863938868
113,20,3,8,217.08001073933602,7.99270324036889,65.2610500370063
114,20,3,9,217.08001073933602,0.0,63.44164736334846
115,20,3,10,217.08001073933602,0.0,44.92129201939445
116,20,3,11,217.08001073933602,0.0,49.60868680024596
117,20,3,12,217.08001073933602,0.0,42.951821140753154
118,20,3,13,217.08001073933602,0.0,44.45820006126205
119,20,3,14,217.08001073933602,0.0,41.010945514612125
120,20,2,0,236.12851236083463,236.12851236083463,235.63244196083826
121,20,2,1,236.12851236083463,209.67190286738315,227.0051638746801
122,20,2,2,236.12851236083463,187.65267857424897,215.55444944213704
123,20,2,3,236.12851236083463,160.9534831504475,174.87045853924008
124,20,2,4,236.12851236083463,136.49271054076638,165.4593295595808
125,20,2,5,236.12851236083463,114.09647872135712,110.41608371669965
126,20,2,6,236.12851236083463,91.65475695376496,125.68805538384058
127,20,2,7,236.12851236083463,67.28640032857102,106.94589247359683
128,20,2,8,236.12851236083463,42.208879434318206,91.16842935667144
129,20,2,9,236.12851236083463,17.03598082400457,87.81950562045674
130,20,2,10,236.12851236083463,0.0,88.01114403985781
131,20,2,11,236.12851236083463,0.0,91.91922400793149
132,20,2,12,236.12851236083463,0.0,72.73908032572145
133,20,2,13,236.12851236083463,0.0,68.09544281771512
134,20,2,14,236.12851236083463,0.0,78.92466632866498
135,20,1,0,262.3494616675659,262.3494616675659,262.05007968119384
136,20,1,1,262.3494616675659,243.81896859322853,245.56106038498427
137,20,1,2,262.3494616675659,230.73284615693123,228.6667858735738
138,20,1,3,262.3494616675659,216.7012773378273,212.47214180313424
139,20,1,4,262.3494616675659,198.5356936349079,196.38508928738344
140,20,1,5,262.3494616675659,180.01582838797862,165.18310818179657
141,20,1,6,262.3494616675659,158.79500081057066,166.75215627331022
142,20,1,7,262.3494616675659,138.35219492755726,164.70843052911874
143,20,1,8,262.3494616675659,118.32461236500694,161.52552460803642
144,20,1,9,262.3494616675659,100.5542751111319,125.41664329762168
145,20,1,10,262.3494616675659,83.85157000279689,145.3780211181471
146,20,1,11,262.3494616675659,68.55209409565126,151.126090396849
147,20,1,12,262.3494616675659,54.12652475480828,142.11963542321723
148,20,1,13,262.3494616675659,36.586633506693815,149.764064063803
149,20,1,14,262.3494616675659,52.62998520037747,130.1341729956482
150,19,10,0,186.0677920036269,186.0677920036269,186.83772949756747
151,19,10,1,186.0677920036269,148.8988293393236,163.01828301986114
152,19,10,2,186.0677920036269,123.11703450827892,130.0957953862253
153,19,10,3,186.0677920036269,104.02456765399177,107.37339032803052
154,19,10,4,186.0677920036269,82.72690181118008,116.00464155549702
155,19,10,5,186.0677920036269,60.95675298577345,105.63042233924742
156,19,10,6,186.0677920036269,39.98318875223942,60.692857658133875
157,19,10,7,186.0677920036269,15.052319667116727,40.46553406629617
158,19,10,8,186.0677920036269,0.0,29.233065765539244
159,19,10,9,186.0677920036269,0.0,19.732832681797433
160,19,10,10,186.0677920036269,0.0,16.367828117969218
161,19,10,11,186.0677920036269,0.0,15.020739865620442
162,19,10,12,186.0677920036269,0.0,4.766780244086036
163,19,10,13,186.0677920036269,0.0,1.335645986008842
164,19,10,14,186.0677920036269,0.0,1.16429751870048
