,FRAC1,EXQC1,NDPC1,NMSC1
1989-10-02,0.44,0.258,0.677,0.2
1989-10-03,0.559,0.395,0.225,0.289
1989-10-04,0.364,0.173,0.399,0.231
1989-10-05,0.299,0.14,-0.098,0.338
1989-10-06,0.316,0.103,0.105,0.242
1989-10-07,0.253,0.096,0.433,0.272
1989-10-08,0.195,0.099,0.375,0.329
1989-10-09,0.164,0.074,0.143,0.377
1989-10-10,0.209,0.091,-0.315,0.284
1989-10-11,0.283,0.0,0.779,0.199
1989-10-12,0.143,0.057,0.174,0.314
1989-10-13,0.242,0.05,0.274,0.282
1989-10-14,0.148,0.049,-0.167,0.261
1989-10-15,0.171,0.04,0.3,0.236
1989-10-16,0.283,0.043,-0.28,0.348
1989-10-17,0.184,0.025,0.161,0.452
1989-10-18,0.194,0.052,0.149,0.318
1989-10-19,0.195,0.033,0.218,0.65
1989-10-20,0.11,0.023,0.261,0.65
1989-10-21,0.332,0.022,0.493,0.25
1989-10-22,0.414,0.04,0.484,0.391
1989-10-23,0.619,0.366,2.228,1.233
1989-10-24,1.147,0.92,6.911,2.014
1989-10-25,1.256,0.908,3.294,1.319
1989-10-26,0.797,0.533,1.922,0.781
1989-10-27,0.542,0.451,1.248,0.73
1989-10-28,0.44,0.347,0.935,0.599
1989-10-29,0.447,0.307,1.27,0.822
1989-10-30,0.418,0.258,0.767,0.49
1989-10-31,0.18,0.227,0.614,1.359
1989-11-01,0.492,0.215,0.51,0.608
1989-11-02,0.442,0.204,0.356,0.748
1989-11-03,0.326,0.18,0.81,0.605
1989-11-04,0.372,0.173,0.406,0.488
1989-11-05,0.355,0.168,0.785,0.31
1989-11-06,0.41,0.186,0.479,0.825
1989-11-07,0.29,0.179,0.022,0.614
1989-11-08,0.487,0.17,0.474,0.475
1989-11-09,0.277,0.174,0.565,0.385
1989-11-10,0.299,0.094,0.24,0.361
1989-11-11,0.4,0.136,0.354,0.27
1989-11-12,0.317,0.133,-0.026,0.207
1989-11-13,0.496,0.153,0.495,0.342
1989-11-14,0.267,0.123,0.589,0.195
1989-11-15,0.33,0.108,0.226,0.187
1989-11-16,0.221,0.129,0.109,0.306
1989-11-17,0.255,0.128,0.041,0.593
1989-11-18,0.246,0.115,0.351,0.156
1989-11-19,0.234,0.109,0.367,0.181
1989-11-20,0.274,0.087,-0.096,0.362
1989-11-21,0.141,0.097,0.252,0.0
1989-11-22,0.159,0.053,0.096,0.427
1989-11-23,0.321,0.122,0.25,0.166
1989-11-24,0.224,0.113,0.118,0.242
1989-11-25,0.737,0.203,1.422,0.57
1989-11-26,1.186,0.506,1.42,0.679
1989-11-27,0.394,0.287,0.517,0.592
1989-11-28,0.381,0.231,0.397,0.45
1989-11-29,0.463,0.24,0.831,0.274
1989-11-30,0.364,0.241,0.439,0.322
1989-12-01,0.407,0.219,1.017,0.435
1989-12-02,0.335,0.217,0.506,0.755
1989-12-03,0.36,0.202,0.943,0.0
1989-12-04,0.426,0.192,-0.413,0.32
1989-12-05,0.223,0.192,0.819,0.407
1989-12-06,0.253,0.224,0.904,0.356
1989-12-07,0.246,0.2,0.642,0.162
1989-12-08,0.345,0.172,0.577,0.563
1989-12-09,0.424,0.178,0.667,0.266
1989-12-10,0.239,0.172,0.094,0.216
1989-12-11,0.165,0.163,0.39,0.336
1989-12-12,0.355,0.143,0.428,0.022
1989-12-13,0.287,0.136,0.645,0.561
1989-12-14,0.278,0.161,0.267,0.185
1989-12-15,0.274,0.134,0.387,0.33
1989-12-16,0.26,0.133,0.677,0.18
1989-12-17,0.185,0.123,0.369,0.212
1989-12-18,0.193,0.119,-0.227,0.236
1989-12-19,0.285,0.103,0.044,0.179
1989-12-20,0.045,0.119,0.473,0.34
1989-12-21,0.092,0.108,0.476,0.225
1989-12-22,0.936,0.094,-0.365,0.21
1989-12-23,0.157,0.1,0.058,0.185
1989-12-24,0.201,0.099,0.375,0.283
1989-12-25,0.283,0.104,-0.038,0.307
1989-12-26,0.147,0.096,-0.168,0.244
1989-12-27,0.094,0.109,0.498,0.326
1989-12-28,0.309,0.104,-0.685,0.123
1989-12-29,0.145,0.079,1.274,0.819
1989-12-30,0.158,0.085,0.045,0.241
1989-12-31,0.281,0.081,-0.325,0.286
1990-01-01,0.22,0.145,0.327,0.226
1990-01-02,0.199,0.088,0.572,0.383
1990-01-03,0.227,0.095,0.146,0.143
1990-01-04,0.246,0.11,0.222,0.127
1990-01-05,0.16,0.07,-0.308,0.351
1990-01-06,0.269,0.099,0.59,0.261
1990-01-07,0.073,0.111,0.187,0.385
1990-01-08,0.163,0.099,0.373,0.491
1990-01-09,0.237,0.072,0.522,0.363
1990-01-10,0.142,0.098,0.225,0.489
1990-01-11,0.221,0.108,0.737,0.254
1990-01-12,0.529,0.129,0.802,0.287
1990-01-13,1.326,0.51,1.405,0.539
1990-01-14,1.174,0.833,1.015,0.694
1990-01-15,0.582,0.462,1.424,0.617
1990-01-16,0.697,0.535,1.067,0.444
1990-01-17,0.519,0.408,1.011,0.33
1990-01-18,0.454,0.318,0.457,0.315
1990-01-19,0.417,0.308,0.74,0.348
1990-01-20,0.363,0.256,0.543,0.335
1990-01-21,0.415,0.235,1.074,0.335
1990-01-22,0.406,0.228,0.765,0.405
1990-01-23,0.333,0.248,0.159,0.3
1990-01-24,0.402,0.213,0.219,0.266
1990-01-25,0.413,0.223,0.804,0.462
1990-01-26,0.339,0.201,0.151,0.315
1990-01-27,0.428,0.214,1.076,0.14
1990-01-28,0.333,0.212,1.027,0.358
1990-01-29,0.405,0.211,0.035,0.516
1990-01-30,0.567,0.223,-0.699,0.409
1990-01-31,0.301,0.245,1.261,0.399
