,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,936.9396989178952,0.0,345.407554229796
49,937.0647614089203,0.0,353.79360376977075
48,937.1963176990832,0.0,358.3191263209819
47,937.3344934147257,0.0,353.1128792381553
46,937.4794839812039,0.0,355.9186385137559
45,937.6315390479592,0.0,355.830330835594
44,937.7874834721927,0.0,355.2788202655412
43,939.6412357883108,0.0,362.6529666695515
42,941.8000852470788,0.0,366.0754370537578
41,943.9502109952613,0.0,359.06447012981823
40,946.0926696613068,0.0,367.64669801189405
39,948.1987152161703,0.0,361.11875517286
38,950.2853324678368,0.0,334.95593550756035
37,952.3587076486754,0.0,348.3006341033723
36,954.4189606424212,0.0,347.42070673574074
35,956.4679746276028,0.0,344.4186712210517
34,958.5078384897837,0.0,341.6513143173959
33,960.5377471383188,0.0,335.53506711603836
32,962.572666408558,0.0,338.3515150555394
31,964.6126424823626,0.0,343.35977982106
30,966.8044360996465,0.0,349.029500311627
29,969.5975700532604,0.0,352.6341679215266
28,971.7652329160705,0.0,360.962573538999
27,973.5714427941766,0.0,367.14327862111804
26,975.0159500527666,0.0,368.59007277216733
25,976.1608431559948,0.0,384.98721158705024
24,978.2444778126958,0.0,407.98662793647566
23,980.3185049212673,0.0,431.4162921343746
22,982.4208139749708,0.0,444.82534230486067
21,987.054084848786,0.0,455.92294582994884
20,992.7047395180356,0.0,454.3048219215111
19,998.2457693985543,0.0,489.4849415394817
18,1004.2978755903732,0.0,504.17762243455286
17,1011.5114998486345,0.0,487.4197213960922
16,1021.706446214162,0.0,469.51038915575765
15,1033.993135499691,0.0,450.5313368267115
14,1057.4089255029933,0.0,430.5795984385893
13,1081.2105783483062,0.0,393.50560384035265
12,1105.0122311991183,0.0,371.0849665598112
11,1128.8138840538354,0.0,430.9024772464686
10,1161.0329823682218,0.0,564.3890725674596
9,1200.7024037717192,0.0,616.208812351684
8,1240.3718251848618,13.412855719759762,797.1195445451281
7,1300.766641498222,93.98880833219476,911.998086572418
6,1373.3936590037956,215.30866171604694,973.6272630404645
5,1445.947514566023,368.4360780346301,1032.0254504043007
4,1528.9766743953635,521.461923944192,1077.7732940004416
3,1622.5891154040069,707.6791827704952,866.9381257599159
2,1621.8416292042314,492.7986788938917,1058.388186676023
1,1836.4870449263008,1526.1155300822577,1526.11553203403
